,Address,Latitude,Longitude,Zone,Page,Total Distance,Order
1357,"131, Raja Garden, Delhi 110015",28.652182,77.1263056,1,54,95.79,7
1358,"Unit 1 B-257, Naraina Indl Area, Delhi 110028",28.6321053,77.1370662,1,54,95.79,8
1359,"Cb-109, Ring Road, Naraina, Delhi 110028",28.6220547,77.1386441,1,54,95.79,9
1360,"Plot 41, Gurgaon, Gurgaon, Delhi 122001",28.4692855,77.034447,1,54,95.79,10
1361,"Rama Park Extension, Main Najafgarh Road, Delhi 110059",28.61516205,76.97752770209998,1,54,95.79,11
1362,"A 27 Sector 5, Delhi 201301",28.59740795,77.05669444035006,1,54,95.79,12
1363,"38, Market No 1, Delhi 121001",28.5976698,77.04904787904695,1,54,95.79,13
1364,"E 19, Plot No 7 Cghs, Balaji Complex, Dwarika, Delhi 110075",28.6148521,77.0490279,1,54,95.79,14
1365,"K-113, Gurudwara Road, Near Santosh Park Primary School, Uttam Nagar, Delhi 110059",28.6190739,77.0566861,1,54,95.79,15
1366,"Vikas Puri, Delhi 110018",28.6301441,77.0682683,1,54,95.79,16
1367,"20b, Dsidc Shed, Tilak Nagar, Delhi 110018",28.6365482,77.0964961,1,54,95.79,17
1368,"E-38, Ring Road, Near Mayapuri Crossing, Rajouri Garden, Delhi 110027",28.6421518,77.11606037769263,1,54,95.79,18
1369,"B1/154, Vishnu Garden, Delhi 110018",28.6524333,77.1000592,1,54,95.79,19
1370,"108, Delhi 110049",28.66418085,77.08805395000002,1,54,95.79,20
1371,"F 301/2, Friend Tower, Paschim Vihar, Delhi 110087",28.6695782,77.095956,1,54,95.79,21
1372,"412, Gd-itl, Netaji Subhash Palace, Pitampura, Delhi 110034",28.6995123,77.1301047,1,54,95.79,22
1373,"C 3/1, Delhi 110052",28.75934455,77.09735407754992,1,54,95.79,23
1374,"581 Phase 5, Udyog Vihar, Delhi 122001",28.68219895,77.0884870400779,1,54,95.79,24
1375,"Connaught Place, Delhi",28.6314022,77.2193791,1,55,95.23,0
1376,"F 12a, Sudarshan Park, Moti Nagar, Delhi 110015",28.6588044,77.1446329,1,55,95.23,1
1377,"206, C 3, Commercial Complex, Pooja House, Karampura, Delhi 110015",28.6647004,77.1468691,1,55,95.23,2
1378,"B 1/31, New Moti Nagar, Delhi 110015",28.6637213,77.142878,1,55,95.23,3
1379,"4/11, Jai Dev Park, Punjabi Bagh, Delhi 110026",28.6673005,77.1373216,1,55,95.23,4
1380,"D 191, Ring Road, Delhi 110015",28.6684172,77.136923,1,55,95.23,5
1381,"Wz 480, E 13, Tyagi Market, Basai Darapur, Delhi 110015",28.6572257,77.1327816,1,55,95.23,6
1382,"131, Raja Garden, Delhi 110015",28.652182,77.1263056,1,55,95.23,7
1383,"Unit 1 B-257, Naraina Indl Area, Delhi 110028",28.6321053,77.1370662,1,55,95.23,8
1384,"Cb-109, Ring Road, Naraina, Delhi 110028",28.6220547,77.1386441,1,55,95.23,9
1385,"Plot 41, Gurgaon, Gurgaon, Delhi 122001",28.4692855,77.034447,1,55,95.23,10
1386,"Rama Park Extension, Main Najafgarh Road, Delhi 110059",28.61516205,76.97752770209998,1,55,95.23,11
1387,"38, Market No 1, Delhi 121001",28.5976698,77.04904787904695,1,55,95.23,12
1388,"A 27 Sector 5, Delhi 201301",28.59740795,77.05669444035006,1,55,95.23,13
1389,"E 19, Plot No 7 Cghs, Balaji Complex, Dwarika, Delhi 110075",28.6148521,77.0490279,1,55,95.23,14
1390,"K-113, Gurudwara Road, Near Santosh Park Primary School, Uttam Nagar, Delhi 110059",28.6190739,77.0566861,1,55,95.23,15
1391,"Vikas Puri, Delhi 110018",28.6301441,77.0682683,1,55,95.23,16
1392,"20b, Dsidc Shed, Tilak Nagar, Delhi 110018",28.6365482,77.0964961,1,55,95.23,17
1393,"E-38, Ring Road, Near Mayapuri Crossing, Rajouri Garden, Delhi 110027",28.6421518,77.11606037769263,1,55,95.23,18
1394,"B1/154, Vishnu Garden, Delhi 110018",28.6524333,77.1000592,1,55,95.23,19
1395,"108, Delhi 110049",28.66418085,77.08805395000002,1,55,95.23,20
1396,"F 301/2, Friend Tower, Paschim Vihar, Delhi 110087",28.6695782,77.095956,1,55,95.23,21
1397,"412, Gd-itl, Netaji Subhash Palace, Pitampura, Delhi 110034",28.6995123,77.1301047,1,55,95.23,22
1398,"C 3/1, Delhi 110052",28.75934455,77.09735407754992,1,55,95.23,23
1399,"581 Phase 5, Udyog Vihar, Delhi 122001",28.68219895,77.0884870400779,1,55,95.23,24
